parcel,address,2021_land,2021_building,2021_total,2020_land,2020_building,2020_total,lat,lng
400 D003020,20 Merrymeeting Dr,52840.0,211360.0,264200.0,34900.0,139800.0,174700.0,43.703327,-70.282932
400 D003021,21 Merrymeeting Dr,56660.0,226640.0,283300.0,37100.0,148400.0,185500.0,43.703347,-70.282685
400 D003022,22 Merrymeeting Dr,60520.0,242080.0,302600.0,39600.0,158400.0,198000.0,43.703312,-70.282609
400 D003023,23 Merrymeeting Dr,61180.0,244720.0,305900.0,37500.0,150000.0,187500.0,43.703237,-70.282515
400 D003024,24 Merrymeeting Dr,53860.0,215440.0,269300.0,35200.0,140700.0,175900.0,43.703179,-70.282427
400 D003025,25 Merrymeeting Dr,48460.0,193840.0,242300.0,35600.0,142300.0,177900.0,43.702986,-70.282429
400 D003027,27 Merrymeeting Dr,58860.0,235440.0,294300.0,38400.0,153400.0,191800.0,43.702815,-70.2824
400 D003028,28 Merrymeeting Dr,56660.0,226640.0,283300.0,37100.0,148400.0,185500.0,43.702725,-70.282392
400 D023001,60 Merrymeeting Dr,1714900.0,5784000.0,7498900.0,305600.0,3086400.0,3392000.0,43.701657,-70.282566
405A H004001,232 Maine Ave,63500.0,265600.0,329100.0,63500.0,109100.0,172600.0,43.70026,-70.27621
405A J023001,250 Maine Ave,64500.0,221100.0,285600.0,64500.0,98700.0,163200.0,43.70063,-70.27537
405A J028001,260 Maine Ave,67100.0,203900.0,271000.0,67100.0,58600.0,125700.0,43.70063,-70.27537
405A J031001,266 Maine Ave,67100.0,233100.0,300200.0,67100.0,99400.0,166500.0,43.70063,-70.27537
405A J033001,272 Maine Ave,67100.0,242300.0,309400.0,67100.0,104300.0,171400.0,43.70063,-70.27537
405A J036001,278 Maine Ave,67100.0,222600.0,289700.0,67100.0,97800.0,164900.0,43.70063,-70.27537
405A J038001,284 Maine Ave,68000.0,236400.0,304400.0,68000.0,97700.0,165700.0,43.70063,-70.27537
405A L001001,229 Maine Ave,64500.0,208400.0,272900.0,64500.0,85300.0,149800.0,43.6999,-70.27589
405A L002001,231 Maine Ave,68000.0,232100.0,300100.0,68000.0,92700.0,160700.0,43.6999,-70.27589
405A M001001,239 Maine Ave,66300.0,311700.0,378000.0,66300.0,137600.0,203900.0,43.70014,-70.27536
405A M004001,247 Maine Ave,69800.0,232900.0,302700.0,69800.0,102700.0,172500.0,43.70014,-70.27536
405A M010001,261 Maine Ave,66300.0,441500.0,507800.0,66300.0,204700.0,271000.0,43.70014,-70.27536
405A M012001,267 Maine Ave,66300.0,290200.0,356500.0,66300.0,130700.0,197000.0,43.70014,-70.27536
405A M014001,273 Maine Ave,66300.0,264000.0,330300.0,66300.0,122500.0,188800.0,43.70014,-70.27536
405A M017001,279 Maine Ave,66300.0,221000.0,287300.0,66300.0,103900.0,170200.0,43.70014,-70.27536
405A M019001,283 Maine Ave,66300.0,222700.0,289000.0,66300.0,98700.0,165000.0,43.70014,-70.27536
406 B020001,224 Maine Ave,63500.0,191600.0,255100.0,63500.0,131000.0,194500.0,43.70026,-70.27621
406 B022001,220 Maine Ave,63500.0,263400.0,326900.0,63500.0,102600.0,166100.0,43.70026,-70.27621
406 B024001,216 Maine Ave,63500.0,197500.0,261000.0,63500.0,89100.0,152600.0,43.70026,-70.27621
406 B026001,210 Maine Ave,67000.0,277200.0,344200.0,67000.0,112600.0,179600.0,43.70026,-70.27621
406 B028001,204 Maine Ave,63500.0,304700.0,368200.0,63500.0,139800.0,203300.0,43.70026,-70.27621
406 B030001,202 Maine Ave,63500.0,250900.0,314400.0,63500.0,103200.0,166700.0,43.70026,-70.27621
406 B032001,196 Maine Ave,63500.0,302100.0,365600.0,63500.0,118100.0,181600.0,43.70026,-70.27621
406 B034001,186 Maine Ave,72600.0,244900.0,317500.0,72600.0,94800.0,167400.0,43.70026,-70.27621
406 C004001,219 Maine Ave,64500.0,255800.0,320300.0,67100.0,78300.0,145400.0,43.6999,-70.27589
406 C006001,215 Maine Ave,64500.0,209400.0,273900.0,64500.0,87000.0,151500.0,43.6999,-70.27589
406 C008001,209 Maine Ave,64500.0,323000.0,387500.0,64500.0,93700.0,158200.0,43.6999,-70.27589
406 C010001,205 Maine Ave,64500.0,252300.0,316800.0,64500.0,102800.0,167300.0,43.6999,-70.27589
406 C012001,201 Maine Ave,65400.0,298200.0,363600.0,65400.0,148000.0,213400.0,43.6999,-70.27589
406 C014001,193 Maine Ave,64500.0,259100.0,323600.0,64500.0,81900.0,146400.0,43.6999,-70.27589
406 C027001,205 Maine Ave,4800.0,12200.0,17000.0,5100.0,12300.0,17400.0,43.6999,-70.27589
406 F020001,182 Marlborough Rd,73300.0,308600.0,381900.0,75800.0,151900.0,227700.0,43.69752,-70.274401
406 F025001,176 Marlborough Rd,71700.0,337800.0,409500.0,71900.0,144900.0,216800.0,43.697372,-70.27477
406 F029001,164 Marlborough Rd,67100.0,325400.0,392500.0,67100.0,189700.0,256800.0,43.697237,-70.275025
406 F034001,152 Marlborough Rd,67200.0,313600.0,380800.0,67200.0,189700.0,256900.0,43.697015,-70.2755
